"date","test_data","test_revert","change","endpoints_total","endpoints_added","urls_added","endpoints_removed","urls_removed"
"2025-08-24 07:37",FALSE,FALSE,"No data changes",1712,0,"",0,""
"2025-08-23 16:39",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-23 07:38",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-22 16:42",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-22 12:09",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-22 07:39",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-21 16:41",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-21 07:40",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-20 16:42",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-20 07:39",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-19 16:41",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-19 07:40",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-18 16:41",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-18 07:39",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-17 16:42",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-17 07:37",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-16 16:41",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-16 07:37",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-15 16:43",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-15 07:39",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-14 16:43",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-14 16:35",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-14 07:39",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-13 16:43",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-13 07:41",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-12 16:43",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-12 07:40",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-11 16:43",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-11 13:05",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-11 12:38",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-11 09:05",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-10 09:30",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-09 09:31",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-08 09:43",FALSE,FALSE,"No data changes",1712,0,"",0,
"2025-08-07 09:51",FALSE,FALSE,"Major data update",1712,1,"http://api.census.gov/data/2025/cps/basic/jul",0,
"2025-08-06 09:35",FALSE,FALSE,"No data changes",1711,0,"",0,
"2025-08-05 09:47",FALSE,FALSE,"No data changes",1711,0,"",0,
"2025-08-04 09:47",FALSE,FALSE,"No data changes",1711,0,"",0,
"2025-08-03 09:36",FALSE,FALSE,"No data changes",1711,0,"",0,
"2025-08-02 09:35",FALSE,FALSE,"No data changes",1711,0,"",0,
"2025-08-02 09:35",FALSE,FALSE,"No data changes",1711,0,"",0,
"2025-08-01 09:42",FALSE,FALSE,"No data changes",1711,0,"",0,
"2025-07-31 10:40",FALSE,FALSE,"Major data update",1711,4,"http://api.census.gov/data/2022/ecngrmargprof, http://api.census.gov/data/2022/ecneoyinv, http://api.census.gov/data/2020/geoinfo, http://api.census.gov/data/timeseries/aies/basic",0,
"2025-07-30 09:44",FALSE,FALSE,"No data changes",1707,0,"",0,
"2025-07-29 09:46",FALSE,FALSE,"No data changes",1707,0,"",0,
"2025-07-28 09:44",FALSE,FALSE,"No data changes",1707,0,"",0,
"2025-07-27 09:34",FALSE,FALSE,"No data changes",1707,0,"",0,
"2025-07-26 09:37",FALSE,FALSE,"No data changes",1707,0,"",0,
"2025-07-25 09:43",FALSE,FALSE,"No data changes",1707,0,"",0,
"2025-07-24 09:43",FALSE,FALSE,"No data changes",1707,0,"",0,
"2025-07-23 09:43",FALSE,FALSE,"No data changes",1707,0,"",0,
